,,Tank 1,,,,Tank 2,,,,Tank 5,,,,Tank 6,,,,Tank 9,,,,Tank 12,,,,,,,
Date,Day,Std dev,Average,Upper,Lower,Std dev,Average,Upper,Lower,Average,St dev,Upper,Lower,Average,St dev,Upper,Lower,Average,St dev,Upper,Lower,Average,St dev,Upper,Lower,,,,
19-May,0,129.6469565,1101.666667,1231.313623,972.0197102,,,,,935,45.82575695,980.8257569,889.1742431,,,,,,,,,960,25.98076211,985.9807621,934.0192379,,,,
20-May,1,320.6373861,1268.333333,1588.970719,947.6959473,1915.491669,3896.666667,5812.158335,1981.174998,3796.666667,197.8846465,3994.551313,3598.78202,5981.666667,391.8651979,6373.531865,5589.801469,4880,342.1622422,5222.162242,4537.837758,6140,336.0059523,6476.005952,5803.994048,,,,
21-May,2,350.1904244,9886.666667,10236.85709,9536.476242,638.8335725,13911.66667,14550.50024,13272.83309,11433.33333,589.4347575,12022.76809,10843.89858,13453.33333,1250.453251,14703.78658,12202.88008,11816.66667,743.8133727,12560.48004,11072.85329,13336.66667,559.3820996,13896.04877,12777.28457,,,,
22-May,3,7751.011224,10885,18636.01122,3133.988776,1053.861945,38590,39643.86195,37536.13805,23103.33333,1602.50065,24705.83398,21500.83268,28178.33333,1182.712278,29361.04561,26995.62105,21735,9561.39242,31296.39242,12173.60758,30021.66667,883.8033341,30905.47,29137.86333,,,,
23-May,4,1259.328525,34113.33333,35372.66186,32854.00481,1579.216578,78375,79954.21658,76795.78342,28261.66667,18724.91411,46986.58077,9536.752559,50295,1138.518775,51433.51877,49156.48123,41683.33333,537.734445,42221.06778,41145.59889,52811.66667,1257.421303,54069.08797,51554.24536,,,,
24-May,5,436.8733608,41836.66667,42273.54003,41399.79331,73536.41791,94816.66667,168353.0846,21280.24876,41380,18136.01114,59516.01114,23243.98886,76743.33333,1344.845096,78088.17843,75398.48824,82483.33333,1152.826237,83636.15957,81330.5071,89008.33333,2110.694988,91119.02832,86897.63835,,,,
25-May,6,634.3566295,60256.66667,60891.0233,59622.31004,1463.372247,201201.6667,202665.0389,199738.2944,95940,911.6879949,96851.68799,95028.31201,116325,1802.519071,118127.5191,114522.4809,124298.3333,395.5165399,124693.8499,123902.8168,132501.6667,4441.906498,136943.5732,128059.7602,,,,
26-May,7,1017.562447,77996.66667,79014.22911,76979.10422,5680.29562,317431.6667,323111.9623,311751.371,124691.6667,5563.610189,130255.2769,119128.0565,178300,5608.805577,183908.8056,172691.1944,100601.6667,1054.32838,101655.995,99547.33829,47895,802.994396,48697.9944,47092.0056,,,,
27-May,8,595.1260371,56090,56685.12604,55494.87396,5563.724772,423841.6667,429405.3914,418277.9419,117010,247.1335671,117257.1336,116762.8664,232391.6667,387.9862541,232779.6529,232003.6804,29283.33333,715.7571748,29999.09051,28567.57616,33655,365.0684867,34020.06849,33289.93151,,,,
28-May,9,221.4347157,4743.333333,4964.768049,4521.898618,54666.15658,403960,458626.1566,349293.8434,37186.66667,941.4660553,38128.13272,36245.20061,297803.3333,766.4419961,298569.7753,297036.8913,21001.66667,449.7314013,21451.39807,20551.93527,22598.33333,216.5833173,22814.91665,22381.75002,,,,
29-May,10,102.8121264,698.6666667,801.4787931,595.8545403,61647.67777,92955,154602.6778,31307.32223,3473.333333,3903.710841,7377.044175,-430.3775081,304990,13912.02088,318902.0209,291077.9791,6373.333333,2154.195519,8527.528852,4219.137815,4576.666667,3398.125709,7974.792376,1178.540958,,,,
30-May,11,982.3102022,926.6666667,1908.976869,-55.64353553,7206.494178,11983.33333,19189.82751,4776.839156,1395,927.8604421,2322.860442,467.1395579,128938.3333,27972.66046,156910.9938,100965.6729,5353.333333,1567.835557,6921.16889,3785.497776,4981.666667,623.0235416,5604.690208,4358.643125,,,,
31-May,12,12.58305739,58.33333333,70.91639073,45.75027594,10610.04196,9104.666667,19714.70862,-1505.375291,388.3333333,75.05553499,463.3888683,313.2777983,15175,22651.17381,37826.17381,-7476.173811,321.6666667,76.37626158,398.0429282,245.2904051,190,143.0908802,333.0908802,46.90911979,,,,
1-Jun,13,330.4542328,615,945.4542328,284.5457672,4163.214904,10711.66667,14874.88157,6548.451763,686.6666667,797.3915809,1484.058248,-110.7249143,65873.33333,85720.08871,151593.422,-19846.75538,11485,7704.05575,19189.05575,3780.94425,2303.333333,2853.981138,5157.314471,-550.6478042,,,,
2-Jun,14,245.0170062,4671.666667,4916.683673,4426.64966,712.5716338,49758.33333,50470.90497,49045.7617,18983.33333,584.9002764,19568.23361,18398.43306,341996.6667,14186.76525,356183.4319,327809.9014,34315,505.2969424,34820.29694,33809.70306,22327.33333,5936.911767,28264.2451,16390.42157,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
