,Tank 1,,,,,,,,,,,,Tank 5,,,,,,,,,,,,Tank 9,,,,,,,,,,,,Tank 2,,,,,,,,,,,,Tank 6,,,,,,,,,,,,Tank 12,,,,,,,,,,,,Tank 3,,,,,,,,,,,,Tank 8,,,,,,,,,,,,Tank 10,,,,,,,,,,,,Tank 4,,,,,,,,,,,,Tank 7,,,,,,,,,,,,Tank 11,,,,,,,,,,,
Day,Avg Temp,St.dev,Upper,Lower,Avg pH,Stdev,Upper,Lower,Avg DO,St.dev,Upper,Lower,Avg Temp,St.dev,Upper,Lower,Avg pH,Stdev,Upper,Lower,Avg DO,St.dev,Upper,Lower,Avg Temp,St.dev,Upper,Lower,Avg pH,Stdev,Upper,Lower,Avg DO,St.dev,Upper,Lower,Avg Temp,St.dev,Upper,Lower,Avg pH,Stdev,Upper,Lower,Avg DO,St.dev,Upper,Lower,Avg Temp,St.dev,Upper,Lower,Avg pH,Stdev,Upper,Lower,Avg DO,St.dev,Upper,Lower,Avg Temp,St.dev,Upper,Lower,Avg pH,Stdev,Upper,Lower,Avg DO,St.dev,Upper,Lower,Avg Temp,St.dev,Upper,Lower,Avg pH,Stdev,Upper,Lower,Avg DO,St.dev,Upper,Lower,Avg Temp,St.dev,Upper,Lower,Avg pH,Stdev,Upper,Lower,Avg DO,St.dev,Upper,Lower,Avg Temp,St.dev,Upper,Lower,Avg pH,Stdev,Upper,Lower,Avg DO,St.dev,Upper,Lower,Avg Temp,St.dev,Upper,Lower,Avg pH,Stdev,Upper,Lower,Avg DO,St.dev,Upper,Lower,Avg Temp,St.dev,Upper,Lower,Avg pH,Stdev,Upper,Lower,Avg DO,St.dev,Upper,Lower,Avg Temp,St.dev,Upper,Lower,Avg pH,Stdev,Upper,Lower,Avg DO,St.dev,Upper,Lower
0,19.50208326,0.356844757,19.85892802,19.1452385,8.458263596,0.019730014,8.47799361,8.438533582,9.454513881,0.16474106,9.61925494,9.289772821,20.08194428,0.577873271,20.65981755,19.50407101,8.523958544,0.012359244,8.536317788,8.5115993,8.892569443,0.126113184,9.018682626,8.766456259,19.66805553,0.469883537,20.13793907,19.198172,8.573200104,0.013888951,8.587089055,8.559311152,9.106440665,0.180178115,9.286618781,8.92626255,21.01111102,2.155886817,23.16699784,18.8552242,8.424930387,0.03583156,8.460761948,8.389098827,8.902222256,0.202896663,9.105118919,8.699325593,21.4625001,2.527882965,23.99038306,18.93461713,8.496805522,0.015175375,8.511980897,8.481630147,8.499097221,0.156146416,8.655243638,8.342950805,21.50069453,2.50857264,24.00926717,18.99212189,8.428263797,0.022573121,8.450836918,8.405690676,8.570138878,0.120940288,8.691079167,8.44919859,19.63819456,0.461374825,20.09956939,19.17681974,8.311805738,0.007159589,8.318965327,8.304646149,9.040347252,0.130241362,9.170588614,8.910105889,20.12361099,0.600813703,20.72442469,19.52279728,8.419516256,0.01950006,8.439016316,8.400016196,8.945630234,0.117931602,9.063561836,8.827698632,19.22569459,0.345752771,19.57144736,18.87994182,8.51701396,0.013173313,8.530187273,8.503840648,8.70201393,0.118443163,8.820457093,8.583570767,21.82638902,2.384887884,24.21127691,19.44150114,8.256944603,0.008550972,8.265495575,8.248393632,8.40437497,0.150837879,8.555212849,8.253537092,21.22499996,2.206459107,23.43145906,19.01854085,8.545416719,0.016253039,8.561669759,8.52916368,8.453263905,0.226675077,8.679938982,8.226588828,21.73333344,2.095583113,23.82891655,19.63775033,8.59701403,0.008027814,8.605041844,8.588986215,8.537291633,0.232569141,8.769860773,8.304722492
1,19.71180548,0.30185831,20.01366379,19.40994717,8.512361109,0.017178042,8.529539151,8.495183067,9.715069433,0.06950372,9.784573153,9.645565713,20.47638912,0.608332248,21.08472136,19.86805687,8.568888863,0.01065079,8.579539652,8.558238073,9.133333319,0.090946868,9.224280187,9.042386451,19.93888905,0.558232919,20.49712197,19.38065613,8.619999932,0.012739696,8.632739628,8.607260236,9.417008498,0.088768005,9.505776503,9.328240493,24.74027774,0.53392851,25.27420625,24.20634923,8.509999964,0.019288081,8.529288045,8.490711883,8.732916653,0.072051667,8.804968321,8.660864986,24.48611108,0.499595917,24.985707,23.98651517,8.523889038,0.018017531,8.541906569,8.505871507,8.453958399,0.104186593,8.558144992,8.349771806,24.48819444,0.518132464,25.0063269,23.97006197,8.470972154,0.025483432,8.496455586,8.445488722,8.439652781,0.09998885,8.539641631,8.33966393,19.99444442,0.530045503,20.52448993,19.46439892,8.339027908,0.007961579,8.346989487,8.331066329,9.271250036,0.074925423,9.346175459,9.196324613,20.51319452,0.633808072,21.14700259,19.87938645,8.449396495,0.010573809,8.459970304,8.438822687,9.111833358,0.041342644,9.153176001,9.070490714,19.38888864,0.391180906,19.78006954,18.99770773,8.546180659,0.009607656,8.555788315,8.536573002,8.873888857,0.035892404,8.909781261,8.837996452,24.4826388,0.490373176,24.97301197,23.99226562,8.269791815,0.011615423,8.281407238,8.258176392,8.168402725,0.048569198,8.216971923,8.119833527,24.5090278,0.474660535,24.98368833,24.03436726,8.562638965,0.023503672,8.586142637,8.539135292,8.13354164,0.069789529,8.20333117,8.063752111,25.0076389,0.349641211,25.35728012,24.65799769,8.635347274,0.024089321,8.659436595,8.611257953,8.37472215,0.124871647,8.499593797,8.249850503
2,20.25416656,0.388807769,20.64297433,19.86535879,8.555486149,0.013782941,8.56926909,8.541703208,9.659513891,0.074386331,9.733900222,9.58512756,21.18541671,0.407785925,21.59320264,20.77763079,8.60673615,0.013782934,8.620519084,8.592953216,9.294513888,0.120817869,9.415331757,9.173696019,20.64027789,0.392823705,21.03310159,20.24745418,8.662313832,0.016919461,8.679233293,8.645394371,9.482314094,0.114161891,9.596475985,9.368152203,25.28194434,0.396250454,25.6781948,24.88569389,8.579375068,0.025507789,8.604882857,8.553867279,8.89131944,0.152390028,9.043709468,8.738929413,25.11388881,0.361931807,25.47582061,24.751957,8.586666723,0.022593871,8.609260594,8.564072852,8.535486062,0.14855396,8.684040023,8.386932102,25.12777771,0.378522148,25.50629986,24.74925556,8.500416643,0.027731716,8.528148359,8.472684927,8.468680567,0.17307281,8.641753378,8.295607757,20.71111108,0.348244953,21.05935604,20.36286613,8.360277692,0.007749811,8.368027503,8.352527882,9.237569398,0.04221572,9.279785119,9.195353678,21.17361119,0.393653622,21.56726481,20.77995757,8.459024135,0.021325485,8.48034962,8.437698649,9.081166704,0.032595863,9.113762568,9.048570841,19.93819457,0.322576036,20.2607706,19.61561853,8.567013893,0.008934676,8.575948568,8.558079217,8.864027765,0.02935955,8.893387315,8.834668216,25.13124993,0.381654349,25.51290428,24.74959558,8.305972298,0.012308261,8.318280559,8.293664037,8.01145839,0.054963124,8.066421514,7.956495267,25.16597213,0.348455836,25.51442796,24.81751629,8.634027706,0.013858338,8.647886045,8.620169368,8.022013876,0.05296231,8.074976186,7.969051566,25.14583328,0.403459843,25.54929312,24.74237344,8.700763855,0.017899419,8.718663274,8.682864436,8.508055535,0.082811466,8.590867,8.425244069
3,20.69166646,0.359583986,21.05125044,20.33208247,8.579652753,0.018412946,8.598065699,8.561239807,9.72354171,0.128762116,9.852303826,9.594779594,21.41388879,0.454443809,21.8683326,20.95944498,8.654513929,0.016801213,8.671315142,8.637712716,9.553958323,0.158671138,9.712629462,9.395287185,20.91458321,0.449237019,21.36382023,20.46534619,8.718879198,0.024593226,8.743472424,8.694285973,9.621355913,0.227140942,9.848496856,9.394214971,25.54166663,0.457188186,25.99885481,25.08447844,8.667777856,0.038165009,8.705942865,8.629612848,9.277986149,0.33298306,9.610969209,8.945003089,25.39236098,0.423121925,25.8154829,24.96923905,8.658888863,0.02892253,8.687811393,8.629966334,8.79756944,0.28384531,9.081414751,8.51372413,25.39652777,0.400596304,25.79712407,24.99593146,8.584652808,0.039875967,8.624528775,8.544776841,8.791111132,0.369456442,9.160567574,8.421654689,20.88263869,0.420178171,21.30281686,20.46246052,8.383750041,0.009302538,8.39305258,8.374447503,9.216180583,0.092502136,9.308682719,9.123678447,21.36736115,0.466774275,21.83413542,20.90058687,8.493414576,0.02949925,8.522913827,8.463915326,9.081739119,0.032532267,9.114271386,9.049206852,20.22291667,0.319466209,20.54238288,19.90345046,8.593263951,0.010230169,8.60349412,8.583033782,8.871736089,0.053940177,8.925676266,8.817795913,25.39374987,0.400737003,25.79448688,24.99301287,8.338055544,0.01184271,8.349898255,8.326212834,7.907916655,0.041860102,7.949776757,7.866056553,25.45763883,0.398700709,25.85633954,25.05893812,8.684166663,0.016365531,8.700532194,8.667801132,8.056319426,0.089487665,8.145807091,7.96683176,25.41736109,0.423328449,25.84068954,24.99403264,8.763472166,0.026584781,8.790056947,8.736887385,8.740763916,0.212138932,8.952902848,8.528624984
4,20.77013883,0.20037716,20.97051599,20.56976167,8.633611043,0.026354732,8.659965775,8.607256311,9.901041693,0.20157671,10.1026184,9.699464983,21.17291656,0.196905657,21.36982221,20.9760109,8.710416536,0.020750675,8.731167211,8.68966586,9.802986165,0.241834731,10.0448209,9.561151434,20.7138888,0.18981435,20.90370315,20.52407445,8.788888964,0.026966567,8.815855531,8.761922397,9.825897412,0.309994872,10.13589228,9.51590254,25.36944449,0.23182999,25.60127448,25.1376145,8.72388896,0.047232691,8.771121651,8.676656269,9.59111109,0.43114765,10.02225874,9.159963441,25.20902773,0.19139278,25.40042051,25.01763495,8.738680528,0.028829087,8.767509616,8.709851441,9.031597204,0.319634077,9.35123128,8.711963127,25.19444431,0.189875763,25.38432007,25.00456855,8.662847161,0.036019859,8.698867021,8.626827302,9.091666639,0.432523864,9.524190502,8.659142775,20.63819434,0.190691261,20.8288856,20.44750307,8.411110984,0.010651165,8.421762149,8.400459819,9.314097193,0.203780338,9.51787753,9.110316855,21.08958321,0.189485487,21.2790687,20.90009772,8.552032672,0.008866927,8.560899599,8.543165745,9.144867306,0.084590523,9.229457829,9.060276783,20.04583339,0.140864222,20.18669761,19.90496917,8.62541663,0.011023011,8.63643964,8.614393619,8.885902802,0.094716473,8.980619275,8.791186329,25.22361093,0.17218699,25.39579792,25.05142394,8.369652662,0.011369032,8.381021694,8.358283631,7.984166715,0.102155129,8.086321844,7.882011586,25.26249988,0.20238952,25.4648894,25.06011036,8.744722214,0.022405891,8.767128105,8.722316323,8.200972233,0.211578561,8.412550794,7.989393671,25.20694451,0.200577054,25.40752156,25.00636745,8.840486228,0.035029036,8.875515264,8.805457192,9.082083305,0.388271916,9.470355221,8.693811388
5,20.65208338,0.265226916,20.9173103,20.38685647,8.682152828,0.017185256,8.699338084,8.664967571,9.909444465,0.235460497,10.14490496,9.673983967,21.1381944,0.485308189,21.62350259,20.65288621,8.76083327,0.02046665,8.78129992,8.74036662,10.01,0.35315362,10.36315362,9.656846383,20.63541675,0.440988909,21.07640565,20.19442784,8.862656146,0.036033325,8.898689471,8.826622821,10.22627114,0.546469329,10.77274047,9.679801807,25.44305567,0.571912774,26.01496844,24.8711429,8.815208269,0.078205208,8.893413477,8.737003062,9.887777799,0.589813786,10.47759158,9.297964013,25.13958351,0.427092801,25.56667631,24.71249071,8.808611068,0.026880145,8.835491214,8.781730923,9.473402785,0.567125194,10.04052798,8.906277591,25.14444456,0.42521539,25.56965995,24.71922917,8.73937485,0.04045586,8.779830709,8.69891899,9.53604167,0.667732008,10.20377368,8.868309662,20.52430548,0.409032051,20.93333753,20.11527342,8.430138906,0.008361096,8.438500002,8.42177781,9.343750026,0.246482604,9.59023263,9.097267423,21.05972222,0.504014899,21.56373712,20.55570733,8.574159082,0.006509162,8.580668245,8.56764992,9.193770495,0.100266825,9.294037319,9.09350367,20.04930543,0.350223837,20.39952926,19.69908159,8.653402686,0.010046215,8.663448902,8.643356471,8.966180536,0.122805161,9.088985697,8.843375376,25.13194458,0.402032075,25.53397665,24.7299125,8.399444633,0.016798972,8.416243605,8.382645661,8.149027771,0.188673405,8.337701176,7.960354367,25.23055556,0.38761928,25.61817484,24.84293628,8.817291531,0.038976805,8.856268336,8.778314726,8.626736114,0.500921996,9.12765811,8.125814119,25.1750001,0.421701436,25.59670153,24.75329866,8.926666538,0.046197946,8.972864484,8.880468592,9.620763852,0.668513718,10.28927757,8.952250133
6,21.10344827,0.416417995,21.51986626,20.68703027,8.705073883,0.010262409,8.715336292,8.694811473,9.990295584,0.186881407,10.17717699,9.803414177,21.65714285,0.467758115,22.12490096,21.18938473,8.798719176,0.015711882,8.814431058,8.783007294,10.25448277,0.260551775,10.51503454,9.993930992,21.08817733,0.459183622,21.54736095,20.62899371,8.926770139,0.02963549,8.95640563,8.897134649,10.57308643,0.380386004,10.95347243,10.19270042,25.94433502,0.633085152,26.57742017,25.31124986,8.931724074,0.035717356,8.96744143,8.896006718,10.4357143,0.666429022,11.10214332,9.769285276,25.64532024,0.442780511,26.08810076,25.20253973,8.863448298,0.030796754,8.894245052,8.832651544,9.827389163,0.527816893,10.35520606,9.29957227,25.64679804,0.427318372,26.07411641,25.21947966,8.796157677,0.023860379,8.820018056,8.772297298,9.708325128,0.481117867,10.18944299,9.227207261,20.94285709,0.432910838,21.37576793,20.50994626,8.442856981,0.011112133,8.453969114,8.431744848,9.52103448,0.374662117,9.895696597,9.146372363,21.60935967,0.474874728,22.08423439,21.13448494,8.592654299,0.011354882,8.604009181,8.581299417,9.259470592,0.078047654,9.337518246,9.181422938,20.59655175,0.468447915,21.06499967,20.12810384,8.672462971,0.011850563,8.684313534,8.660612407,9.067290654,0.147939795,9.215230449,8.919350858,25.63793116,0.418376806,26.05630796,25.21955435,8.445270994,0.033319584,8.478590578,8.41195141,8.572463087,0.464582046,9.037045133,8.107881042,25.73300498,0.474961594,26.20796657,25.25804338,8.918275828,0.063787176,8.982063005,8.854488652,9.507832518,0.936538902,10.44437142,8.571293615,25.67438435,0.44078451,26.11516886,25.23359984,9.014334956,0.050374152,9.064709108,8.963960804,10.31852215,0.645744494,10.96426665,9.672777659
7,21.37500003,0.209394687,21.58439471,21.16560534,8.721319391,0.013599872,8.734919262,8.707719519,9.963124977,0.316116024,10.279241,9.647008953,21.73819445,0.370974281,22.10916873,21.36722017,8.843194313,0.020403405,8.863597718,8.822790907,10.32215279,0.42004685,10.74219964,9.902105943,21.22638896,0.373789134,21.60017809,20.85259982,8.97314951,0.010961575,8.984111085,8.962187934,9.834098347,0.266029085,10.10012743,9.568069262,26.10138881,0.71458213,26.81597094,25.38680668,9.075000001,0.066679455,9.141679457,9.008320546,11.03895834,1.19301795,12.23197629,9.845940388,25.79930564,0.325274962,26.1245806,25.47403068,8.948888746,0.038341737,8.987230482,8.910547009,9.905763911,0.856014155,10.76177807,9.049749756,25.81597217,0.337341258,26.15331343,25.47863091,8.794791751,0.009384644,8.804176396,8.785407107,8.067569464,0.262490075,8.33005954,7.805079389,21.08125006,0.389722622,21.47097268,20.69152744,8.473472185,0.017672962,8.491145147,8.455799222,10.06124997,0.695281708,10.75653168,9.365968263,21.68194466,0.376894284,22.05883895,21.30505038,8.634173791,0.018063373,8.652237164,8.616110418,9.455254207,0.267069309,9.722323516,9.188184898,20.82708319,0.333705413,21.1607886,20.49337778,8.71812484,0.017419856,8.735544696,8.700704984,9.280347221,0.280410366,9.560757587,8.999936856,25.79374998,0.335586175,26.12933616,25.45816381,8.564305504,0.068588765,8.632894269,8.49571674,10.04604168,1.392961456,11.43900314,8.653080224,25.88819442,0.433314828,26.32150924,25.45487959,9.104236007,0.104135301,9.208371307,9.000100706,10.40493052,1.445433129,11.85036365,8.95949739,25.80347231,0.337081962,26.14055427,25.46639035,9.133680509,0.059328827,9.193009336,9.074351682,10.51618056,0.891211953,11.40739251,9.624968609
8,21.46319458,0.291066589,21.75426117,21.17212799,8.72826365,0.005833098,8.734096748,8.722430551,9.655624972,0.222480345,9.878105317,9.433144628,21.95416662,0.511664785,22.46583141,21.44250184,8.868680616,0.014055209,8.882735826,8.854625407,10.14909721,0.291595343,10.44069255,9.857501868,21.54513892,0.535434089,22.080573,21.00970483,8.961120064,0.005710337,8.9668304,8.955409727,8.950084029,0.220640403,9.170724432,8.729443626,26.53541672,0.692059761,27.22747648,25.84335696,9.137361123,0.058405126,9.195766248,9.078955997,11.37458331,0.990272201,12.36485551,10.38431111,26.00833334,0.473714707,26.48204805,25.53461863,9.027222097,0.043282277,9.070504374,8.98393982,10.8461111,1.094192648,11.94030375,9.751918451,26.00833334,0.458410159,26.4667435,25.54992318,8.774027871,0.012918089,8.786945959,8.761109782,8.152222256,0.570472104,8.72269436,7.581750152,21.37499993,0.504732785,21.87973272,20.87026715,8.516874969,0.02878611,8.545661079,8.488088859,10.96763885,1.103039008,12.07067786,9.864599842,21.8951389,0.514995966,22.41013487,21.38014293,8.689098343,0.028372057,8.717470399,8.660726286,9.928925656,0.485978075,10.41490373,9.442947582,20.94652764,0.402077239,21.34860488,20.5444504,8.761666523,0.018698952,8.780365475,8.742967571,9.674583356,0.421629976,10.09621333,9.25295338,26.01874998,0.473784097,26.49253408,25.54496588,8.732777807,0.09251299,8.825290798,8.640264817,11.65909718,1.705402726,13.36449991,9.953694456,26.09861129,0.529148398,26.62775969,25.56946289,9.272638864,0.089606664,9.362245528,9.1830322,10.94152779,1.154038434,12.09556622,9.787489356,26.01597219,0.4590449,26.47501709,25.55692729,9.231319507,0.049348831,9.280668338,9.181970676,10.58,0.984828964,11.56482897,9.59517104
