Day,Tank 1,Tank2,Tank 5,Tank 6,Tank 9,Tank 12,,,,
0,,,,,,,,,,
1,0.140879518,,1.401332238,,,1.855646737,,,,
2,2.053483345,1.27260633,1.102409577,0.810527671,0.884365744,0.775692392,,,,
3,0.096198647,1.020265359,0.703443842,0.739326454,0.6094129,0.811402209,,,,
4,1.14230262,0.708511823,0.201529444,0.579352307,0.651177504,0.564812783,,,,
5,0.204084833,0.190440204,0.381291321,0.422560852,0.682494884,0.521997872,,,,
6,0.364840068,0.752362519,0.840925324,0.415921477,0.410088337,0.397865226,,,,
7,0.258052874,0.45595485,0.262121027,0.427079527,-0.211515765,-1.017584109,,,,
8,-0.329708547,0.289097386,-0.063584622,0.264956642,-1.234150299,-0.352849481,,,,
9,-2.47021742,-0.048044095,-1.146309127,0.248009147,-0.332416726,-0.398285476,,,,
10,-1.915321646,-1.469200358,-2.370835526,0.023845676,-1.192479181,-1.596905226,,,,
11,0.282420161,-2.04859871,-0.912220332,-0.860944735,-0.174403199,0.084793576,,,,
12,-2.765420233,-0.274729693,-1.278785617,-2.139684917,-2.811958886,-3.266495714,,,,
13,2.355448583,0.162546388,0.569984896,1.468084369,3.575281302,2.495088556,,,,
14,2.027648907,1.535844464,3.319467707,1.647067284,1.09454074,2.271454289,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
